id,songName,songImage,songLink,created_at,updated_at
67,نونو يا نونو,https://i.ytimg.com/vi/fRKLCIZepMY/maxresdefault.jpg,https://www.youtube.com/watch?v=fRKLCIZepMY,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
140,نهاية ثعلب,https://i.ytimg.com/vi/lXke0OODwNQ/maxresdefault.jpg,https://www.youtube.com/watch?v=lXke0OODwNQ,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
426,نعيما (بدون إيقاع) - جنى مقداد  طيور الجنة,https://i.ytimg.com/vi/EoJZeZai424/maxresdefault.jpg,https://www.youtube.com/watch?v=EoJZeZai424,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
138,نشيد يا بطة يا سمينة,https://i.ytimg.com/vi/pajsUnYG7O8/hqdefault.jpg,https://www.youtube.com/watch?v=pajsUnYG7O8,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
420,نام بكير (بدون إيقاع) - جاد وإياد مقداد  طيور الجنة,https://i.ytimg.com/vi/sw99g4jaHT0/maxresdefault.jpg,https://www.youtube.com/watch?v=sw99g4jaHT0,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
386,من عيد لعيد - ديمة بشار (بدون إيقاع)  طيور الجنة,https://i.ytimg.com/vi/OsspSsFl2wM/maxresdefault.jpg,https://www.youtube.com/watch?v=OsspSsFl2wM,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
116,مع #عائلة بساطة و بطاطا هنتعرف على أنواع الفاكهة,https://i.ytimg.com/vi/Uv64Bn35Pow/maxresdefault.jpg,https://www.youtube.com/watch?v=Uv64Bn35Pow,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
380,مطبخ البيت (بدون إيقاع) - عصومي ووليد  طيور الجنة,https://i.ytimg.com/vi/VAhxkGzgX6I/maxresdefault.jpg,https://www.youtube.com/watch?v=VAhxkGzgX6I,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
432,مدينة (بدون إيقاع) - مراد شريف  طيور الجنة,https://i.ytimg.com/vi/nrEI_s17Fw4/maxresdefault.jpg,https://www.youtube.com/watch?v=nrEI_s17Fw4,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
369,مدرسة لين (بدون إيقاع)  طيور الجنة,https://i.ytimg.com/vi/kkWUARvWyAc/maxresdefault.jpg,https://www.youtube.com/watch?v=kkWUARvWyAc,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
115,مجموعة من أروع اغاني الأطفال التعليميه    بساطة وبطاطا,https://i.ytimg.com/vi/01lLmiRYk8I/maxresdefault.jpg,https://www.youtube.com/watch?v=01lLmiRYk8I,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
280,مجموعة اغاني اطفال هالصيصان والالوان وذهب الليل طلع الفجر والبقرة,https://i.ytimg.com/vi/OaFwlsX2kjA/maxresdefault.jpg,https://www.youtube.com/watch?v=OaFwlsX2kjA,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
275,مجموعة اغاني اطفال طويلة,https://i.ytimg.com/vi/J2CJCB98Gjo/maxresdefault.jpg,https://www.youtube.com/watch?v=J2CJCB98Gjo,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
277,مجموعة اغاني اطفال (هالصيصان والالوان وذهب الليل) اناشيد اطفال,https://i.ytimg.com/vi/sRZ2SIWBtVw/maxresdefault.jpg,https://www.youtube.com/watch?v=sRZ2SIWBtVw,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
202,مجموعة اغاني اطفال - هالصيصان شو حلوين والالوان وذهب الليل ويا غنماتي,https://i.ytimg.com/vi/PXDyAofTAR4/sddefault.jpg,https://www.youtube.com/watch?v=PXDyAofTAR4,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
286,مجموعة اغاني اطفال - اناشيد اطفال هالصيصان وذهب الليل طلع الفجر والمزيد,https://i.ytimg.com/vi/GPCjx0fF5IQ/maxresdefault.jpg,https://www.youtube.com/watch?v=GPCjx0fF5IQ,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
210,مجموعة اغاني اطفال - اناشيد اطفال هالصيصان وذهب الليل طلع الفجر,https://i.ytimg.com/vi/gO0ecd2d_WE/maxresdefault.jpg,https://www.youtube.com/watch?v=gO0ecd2d_WE,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
377,مايا (بدون إيقاع)  طيور الجنة,https://i.ytimg.com/vi/mMxtE8Lu4HE/maxresdefault.jpg,https://www.youtube.com/watch?v=mMxtE8Lu4HE,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
272,ماما زمانها جايه جايه بعد شويه هالصيصان شو حلوين الالوان و ذهب الليل طلع الفحر,https://i.ytimg.com/vi/tU6u86Fz7W4/maxresdefault.jpg,https://www.youtube.com/watch?v=tU6u86Fz7W4,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
71,ماما زمانها جاية   كتاكيت بيبي 2018,https://i.ytimg.com/vi/J_uV9RkXrls/maxresdefault.jpg,https://www.youtube.com/watch?v=J_uV9RkXrls,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
281,ماما زمانها جاية,https://i.ytimg.com/vi/UJOftOG7gw8/maxresdefault.jpg,https://www.youtube.com/watch?v=UJOftOG7gw8,2024-10-04 10:02:44.779+00,2024-10-04 10:02:44.779+00
